Source,SS,DF,MS,F,p-unc,np2,band,anova_type
taste,0.05081826012058533,4.0,0.012704565030146333,0.16231073882590744,0.9571217369359108,0.0039916752362754195,delta,Repeated Measures ANOVA
condition,0.06191439160733121,1.0,0.06191439160733121,0.7910046996411605,0.37511527520972254,0.004859019705054405,delta,Repeated Measures ANOVA
taste * condition,0.264794398668392,4.0,0.066198599667098,0.8457388029980737,0.49812368528887674,0.02045528336131092,delta,Repeated Measures ANOVA
Residual,12.680242538303284,162.0,0.07827310208829188,,,,delta,Repeated Measures ANOVA
taste,0.050818260120585344,4.0,0.012704565030146336,0.15865013608814077,0.9588349339819051,0.003902002047710009,theta,Repeated Measures ANOVA
condition,0.04930304085297371,1.0,0.04930304085297371,0.6156790194959826,0.43380343793211495,0.0037860987526434574,theta,Repeated Measures ANOVA
taste * condition,0.8974885779410864,4.0,0.2243721444852716,2.8018803613118513,0.027674217028111292,0.06470574344423151,theta,Repeated Measures ANOVA
Residual,12.97281922115889,162.0,0.08007913099480796,,,,theta,Repeated Measures ANOVA
taste,0.050818260120585296,4.0,0.012704565030146324,0.130279537312599,0.9711750412213416,0.0032064642132958376,alpha,Repeated Measures ANOVA
condition,0.15045224138405947,1.0,0.15045224138405947,1.5428193211375905,0.2159937867274115,0.009433733180960175,alpha,Repeated Measures ANOVA
taste * condition,0.7277693186179556,4.0,0.1819423296544889,1.8657358570496585,0.1189340833042649,0.04403879265416324,alpha,Repeated Measures ANOVA
Residual,15.797872615599681,162.0,0.09751773219505976,,,,alpha,Repeated Measures ANOVA
taste,0.05081826012058525,4.0,0.012704565030146312,0.2796554017160635,0.8908247964153151,0.006857718608978124,beta,Repeated Measures ANOVA
condition,0.0002041385687993834,1.0,0.0002041385687993834,0.004493538608198725,0.9466374054410129,2.7737123273854407e-05,beta,Repeated Measures ANOVA
taste * condition,0.14580264034245913,4.0,0.03645066008561478,0.8023591492404594,0.5253212399445139,0.019426472622090272,beta,Repeated Measures ANOVA
Residual,7.35955580422991,162.0,0.04542935681623401,,,,beta,Repeated Measures ANOVA
taste,0.05081826012058521,4.0,0.012704565030146303,0.4162126664996727,0.7967866005975095,0.01017231653115462,low_gamma,Repeated Measures ANOVA
condition,0.23361354655489558,1.0,0.23361354655489558,7.653384189961425,0.0063255460988219684,0.04511188637057724,low_gamma,Repeated Measures ANOVA
taste * condition,0.16163580456843815,4.0,0.04040895114210954,1.3238325960317212,0.2632979317356495,0.03165258929802926,low_gamma,Repeated Measures ANOVA
Residual,4.944922873665883,162.0,0.030524215269542486,,,,low_gamma,Repeated Measures ANOVA
taste,0.050818260120585296,4.0,0.012704565030146324,0.5327030249381154,0.7118752422162307,0.01298240149118031,high_gamma,Repeated Measures ANOVA
condition,0.6799449479247585,1.0,0.6799449479247585,28.510124486075103,3.1073352059655915e-07,0.14965149260694008,high_gamma,Repeated Measures ANOVA
taste * condition,0.03468156676420949,4.0,0.008670391691052373,0.3635499421083843,0.8342979263435952,0.008896680357517336,high_gamma,Repeated Measures ANOVA
Residual,3.8635777131597866,162.0,0.023849245142961644,,,,high_gamma,Repeated Measures ANOVA
